Player Id,Competition,Opponent Id,Game Id,Game Result,Set,Half,Set Result,Throws,Blocked,Dodged,Caught Out,Hit But Caught,Offensive Outs,Defensive Outs,Total Outs,Total On Target,Defensive Catch,Defensive Block,Defensive Dodge,Deflected Catch,Dropped Catch,Hit & Caught,Hit Out Off,Hit Out Def,Line Out,Time on Court,Total Time,Hit Out Total,Thrown At Total,Total Offense Outs,Total Defense Outs,
M,D4,1,1,W,1,1,L,1,,,,,,,0,0,,,,,,,,1,,21,81,1,1,0,1,
N,D4,1,1,W,1,1,L,1,,,,,,,0,0,,,,,,,,1,,19,81,1,1,0,1,
P,D4,1,1,W,1,1,L,,,,,,,,0,0,,,,,,,1,,,32,81,1,1,1,0,
S,D4,1,1,W,1,1,L,1,,,,,,,0,0,,,,,,,1,,,81,81,1,1,1,0,
E,D4,1,1,W,1,1,L,3,1,,,,,,0,1,,,2,,,,1,,,78,81,1,3,1,0,
An,D4,1,1,W,1,1,L,2,,1,,,1,,1,2,,,,,,,,1,,50,81,1,1,1,1,
M,D4,1,1,W,2,1,W,1,,,,,1,,1,1,,,,,,,,1,,5,106,1,1,1,1,
N,D4,1,1,W,2,1,W,3,1,,,,,2,2,3,,,,,,,,,,106,106,0,0,0,2,
P,D4,1,1,W,2,1,W,2,,,,,1,,1,1,,1,,,,,,1,,31,106,1,2,1,1,
S,D4,1,1,W,2,1,W,,,,,,,,0,0,,,1,,,,,,,106,106,0,1,0,0,
E,D4,1,1,W,2,1,W,,,,,,,,0,0,,,1,,,,,,,106,106,0,1,0,0,
An,D4,1,1,W,2,1,W,3,1,,,,,2,2,3,,,,,,,,,,106,106,0,0,0,2,
M,D4,1,1,W,2,1,W,1,,,,,1,,1,1,,,,,,,1,,,36,42,1,1,2,0,
N,D4,1,1,W,2,1,W,1,,,,,,1,1,1,,1,,,,,,1,,21,42,1,2,0,2,
P,D4,1,1,W,2,1,W,3,,,,,1,1,2,2,,1,1,,,,,,,42,42,0,2,1,1,
S,D4,1,1,W,2,1,W,1,,,,,,1,1,1,,,,,,,,,,42,42,0,0,0,1,
E,D4,1,1,W,2,1,W,,,,,,,,0,0,,,,,,,,,,42,42,0,0,0,0,
An,D4,1,1,W,2,1,W,3,,2,,,,,0,2,,,,,,,,,,42,42,0,0,0,0,
M,D4,1,1,W,3,1,W,8,,5,,,1,1,2,7,1,,2,,,,,,,168,168,0,3,1,1,
N,D4,1,1,W,3,1,W,1,,,,,,,0,0,,,1,,,,,1,,33,168,1,2,0,1,
P,D4,1,1,W,3,1,W,1,,,,,1,,1,1,,,,,,,,,,168,168,0,0,1,0,
S,D4,1,1,W,3,1,W,2,,,,,,,0,0,,,,,,,,1,,167,168,1,1,0,1,
E,D4,1,1,W,3,1,W,1,,,,,,,0,0,,,,,,,,1,,146,168,1,1,0,1,
An,D4,1,1,W,3,1,W,5,,2,,,,2,2,4,,,2,,,,,,,126,168,0,2,0,2,
M,D4,1,1,W,4,1,L,7,1,1,,,1,,1,3,,2,4,,,,1,,,191,191,1,7,2,0,
